0,A1,H1,F3,J7,L1,L4,L7,L10,L11,L13,N3,R1,Y12,Y33,Y35,Z6,Z8,Z9,Z14,Z19,Z20,Z21,Z22,Z25,Z27,Z29,Z30,Z32,Z35,Z36,Z37,Z38,Z40,Z41,Z42,Z43,Z45,Z47,B2,B6,C2,D2,Q2,S6,Y34,Z1,Z31,A5,D3,D5,E1,F1,F6,F7,J4,J8,K1,L12,L18,L21,L23,L24,M2,Q3,Q4,Y2,Y8,Y9,Y14,Y15,Y16,Y20,Y31,Z3,Z11,Z12,Z13,Z49,F4,J1,L3,L8,M3,S4,Y6,Y17,Y18,Y22,Y23,D1,J9,K3,L2,N2,Q8,Y3,Y4,Y10,Y11,Y13,Y19,Y21,Y24,Y25,Y26,Y28,Y29,Y32,Y39,Z2,Z10,Z28,A6,A7,G2,S5,B7,F2,G1,C3,X1,Z4,A2,F5,K2,S1,Z16,Z18,Z23,Z34,Z48,Z50,D4,J6,L6,B5,L22,P1,S2,T1,W2,Y5
A1,1.0,0.3333333333333333,0.4444444444444444,0.35714285714285715,0.17391304347826086,0.1,0.2857142857142857,0.0,0.0,0.4444444444444444,0.13157894736842105,0.16666666666666666,0.0,0.15384615384615385,0.17857142857142858,0.21052631578947367,0.0,0.0,0.0,0.0,0.14285714285714285,0.0,0.0,0.18181818181818182,0.06666666666666667,0.037037037037037035,0.03571428571428571,0.24,0.0,0.0,0.058823529411764705,0.0,0.2,0.0,0.0,0.0,0.17391304347826086,0.0,0.5454545454545454,0.13333333333333333,0.058823529411764705,0.11764705882352941,0.10714285714285714,0.25,0.0967741935483871,0.0,0.10714285714285714,0.07142857142857142,0.08064516129032258,0.06666666666666667,0.058823529411764705,0.10416666666666667,0.044444444444444446,0.07142857142857142,0.02127659574468085,0.08888888888888889,0.029411764705882353,0.35714285714285715,0.0,0.18181818181818182,0.047619047619047616,0.1,0.2,0.3333333333333333,0.14285714285714285,0.14285714285714285,0.013513513513513514,0.037037037037037035,0.061855670103092786,0.0,0.0,0.14634146341463414,0.1282051282051282,0.022727272727272728,0.14705882352941177,0.08823529411764706,0.03508771929824561,0.0,0.19047619047619047,0.07407407407407407,0.047619047619047616,0.06976744186046512,0.13043478260869565,0.07017543859649122,0.29411764705882354,0.06976744186046512,0.05128205128205128,0.030303030303030304,0.06666666666666667,0.11538461538461539,0.24,0.15151515151515152,0.14285714285714285,0.21739130434782608,0.0,0.1276595744680851,0.0,0.1,0.17142857142857143,0.1724137931034483,0.19230769230769232,0.17142857142857143,0.2857142857142857,0.07692307692307693,0.0,0.030303030303030304,0.1111111111111111,0.030303030303030304,0.05555555555555555,0.0,0.21052631578947367,0.13333333333333333,0.0,0.0,0.0,0.15151515151515152,0.09375,0.09090909090909091,0.1,0.09090909090909091,0.13043478260869565,0.11538461538461539,0.22727272727272727,0.14814814814814814,0.36363636363636365,0.45454545454545453,0.3333333333333333,0.1044776119402985,0.2857142857142857,0.0,0.08695652173913043,0.16666666666666666,0.0,0.3333333333333333,0.041666666666666664,0.22727272727272727,0.0,0.0,0.05194805194805195,0.0,0.047619047619047616,0.125
H1,0.3333333333333333,1.0,0.26666666666666666,0.3888888888888889,0.13793103448275862,0.0625,0.2,0.0,0.0,0.26666666666666666,0.13953488372093023,0.11627906976744186,0.0,0.125,0.25806451612903225,0.16,0.0,0.034482758620689655,0.0,0.0,0.07692307692307693,0.0,0.0,0.05555555555555555,0.047619047619047616,0.030303030303030304,0.029411764705882353,0.15625,0.0,0.0,0.043478260869565216,0.0,0.25,0.0,0.0,0.0,0.13793103448275862,0.0,0.2777777777777778,0.045454545454545456,0.09090909090909091,0.16666666666666666,0.08823529411764706,0.18181818181818182,0.21212121212121213,0.0,0.08823529411764706,0.10526315789473684,0.10606060606060606,0.0,0.043478260869565216,0.1346153846153846,0.05,0.05,0.018867924528301886,0.0784313725490196,0.025,0.25,0.0,0.14285714285714285,0.07692307692307693,0.0625,0.058823529411764705,0.18181818181818182,0.12195121951219512,0.07692307692307693,0.0125,0.13333333333333333,0.06862745098039216,0.0,0.0,0.1276595744680851,0.1111111111111111,0.02,0.18421052631578946,0.10256410256410256,0.06557377049180328,0.0,0.14814814814814814,0.029411764705882353,0.037037037037037035,0.061224489795918366,0.06666666666666667,0.13559322033898305,0.21739130434782608,0.061224489795918366,0.06818181818181818,0.02564102564102564,0.047619047619047616,0.06060606060606061,0.1935483870967742,0.1,0.09523809523809523,0.21428571428571427,0.0,0.1346153846153846,0.0,0.037037037037037035,0.175,0.21212121212121213,0.1935483870967742,0.20512820512820512,0.2222222222222222,0.08433734939759036,0.0,0.05263157894736842,0.11864406779661017,0.02564102564102564,0.041666666666666664,0.0,0.20833333333333334,0.1111111111111111,0.0,0.0,0.0,0.1,0.17142857142857143,0.14893617021276595,0.0,0.058823529411764705,0.16,0.12903225806451613,0.17857142857142858,0.1935483870967742,0.23529411764705882,0.29411764705882354,0.3684210526315789,0.06666666666666667,0.17857142857142858,0.0,0.08,0.0967741935483871,0.0,0.2222222222222222,0.03333333333333333,0.2692307692307692,0.0,0.0,0.03571428571428571,0.125,0.07692307692307693,0.13513513513513514
F3,0.4444444444444444,0.26666666666666666,1.0,0.2857142857142857,0.18181818181818182,0.0,0.3076923076923077,0.0,0.0,0.5,0.10526315789473684,0.10810810810810811,0.0,0.16,0.14285714285714285,0.2222222222222222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09090909090909091,0.07142857142857142,0.038461538461538464,0.037037037037037035,0.15384615384615385,0.0,0.0,0.0,0.0,0.21052631578947367,0.03571428571428571,0.0,0.0,0.18181818181818182,0.0,0.3333333333333333,0.0,0.0,0.07692307692307693,0.034482758620689655,0.26666666666666666,0.03125,0.0,0.034482758620689655,0.0,0.047619047619047616,0.0,0.0625,0.08333333333333333,0.029411764705882353,0.07692307692307693,0.021739130434782608,0.09090909090909091,0.030303030303030304,0.2857142857142857,0.0,0.19047619047619047,0.0,0.0,0.0,0.26666666666666666,0.11428571428571428,0.0,0.0136986301369863,0.038461538461538464,0.04081632653061224,0.0,0.0,0.09523809523809523,0.10256410256410256,0.023255813953488372,0.08571428571428572,0.02857142857142857,0.017543859649122806,0.0,0.2,0.0,0.0,0.022727272727272728,0.041666666666666664,0.034482758620689655,0.23529411764705882,0.022727272727272728,0.0,0.0,0.07142857142857142,0.037037037037037035,0.15384615384615385,0.12121212121212122,0.11428571428571428,0.17391304347826086,0.0,0.08333333333333333,0.0,0.0,0.1111111111111111,0.13793103448275862,0.15384615384615385,0.1111111111111111,0.18181818181818182,0.05063291139240506,0.0,0.0,0.07272727272727272,0.03125,0.058823529411764705,0.0,0.2222222222222222,0.17857142857142858,0.0,0.0,0.0,0.12121212121212122,0.0967741935483871,0.09302325581395349,0.0,0.0,0.0851063829787234,0.037037037037037035,0.18181818181818182,0.15384615384615385,0.4,0.36363636363636365,0.26666666666666666,0.057971014492753624,0.18181818181818182,0.0,0.05714285714285714,0.08,0.0,0.36363636363636365,0.043478260869565216,0.18181818181818182,0.0,0.0,0.03896103896103896,0.0,0.0,0.12903225806451613
J7,0.35714285714285715,0.3888888888888889,0.2857142857142857,1.0,0.18518518518518517,0.06666666666666667,0.21052631578947367,0.0,0.0,0.2857142857142857,0.14285714285714285,0.11904761904761904,0.0,0.12903225806451613,0.22580645161290322,0.16666666666666666,0.0,0.0,0.0,0.0,0.08333333333333333,0.0,0.0,0.058823529411764705,0.10526315789473684,0.03125,0.030303030303030304,0.2,0.0,0.0,0.045454545454545456,0.0,0.16,0.0,0.0,0.0,0.14285714285714285,0.0,0.29411764705882354,0.1,0.09523809523809523,0.10714285714285714,0.09090909090909091,0.19047619047619047,0.11428571428571428,0.0,0.09090909090909091,0.05263157894736842,0.1076923076923077,0.0,0.045454545454545456,0.13725490196078433,0.057971014492753624,0.1111111111111111,0.019230769230769232,0.08,0.02564102564102564,0.2631578947368421,0.0,0.14814814814814814,0.038461538461538464,0.06666666666666667,0.0625,0.19047619047619047,0.125,0.08333333333333333,0.012658227848101266,0.03125,0.06930693069306931,0.0,0.0,0.15555555555555556,0.11363636363636363,0.02040816326530612,0.1891891891891892,0.13513513513513514,0.0847457627118644,0.0,0.15384615384615385,0.030303030303030304,0.038461538461538464,0.0851063829787234,0.10714285714285714,0.1,0.22727272727272727,0.0851063829787234,0.09523809523809523,0.02631578947368421,0.05,0.0625,0.2,0.10256410256410256,0.0975609756097561,0.2692307692307692,0.0,0.16,0.0,0.038461538461538464,0.1794871794871795,0.21875,0.2,0.21052631578947367,0.28,0.09876543209876543,0.0,0.05405405405405406,0.14035087719298245,0.02631578947368421,0.043478260869565216,0.0,0.16666666666666666,0.14705882352941177,0.0,0.0,0.0,0.10256410256410256,0.08108108108108109,0.10416666666666667,0.0,0.0625,0.14,0.1724137931034483,0.18518518518518517,0.2,0.25,0.3125,0.3888888888888889,0.06756756756756757,0.18518518518518517,0.0,0.06666666666666667,0.1,0.0,0.23529411764705882,0.034482758620689655,0.28,0.0,0.0,0.03614457831325301,0.0,0.08,0.1388888888888889
L1,0.17391304347826086,0.13793103448275862,0.18181818181818182,0.18518518518518517,1.0,0.0,0.14814814814814814,0.0,0.0,0.18181818181818182,0.07692307692307693,0.0784313725490196,0.0,0.10256410256410256,0.09523809523809523,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.07407407407407407,0.025,0.024390243902439025,0.1,0.0,0.0,0.0,0.0,0.12121212121212122,0.0,0.0,0.0,0.1111111111111111,0.0,0.15384615384615385,0.0,0.0,0.06060606060606061,0.023255813953488372,0.13793103448275862,0.021739130434782608,0.0,0.023255813953488372,0.037037037037037035,0.05263157894736842,0.0,0.06896551724137931,0.06451612903225806,0.03355704697986577,0.07692307692307693,0.016666666666666666,0.06896551724137931,0.02127659574468085,0.14285714285714285,0.0,0.11428571428571428,0.0,0.0,0.0,0.13793103448275862,0.08163265306122448,0.0,0.011494252873563218,0.025,0.04504504504504504,0.0,0.0,0.09090909090909091,0.07547169811320754,0.017543859649122806,0.061224489795918366,0.02040816326530612,0.014084507042253521,0.0,0.11764705882352941,0.0,0.0,0.017241379310344827,0.02631578947368421,0.027777777777777776,0.12903225806451613,0.017241379310344827,0.018867924528301886,0.0,0.03571428571428571,0.05,0.1,0.0851063829787234,0.08163265306122448,0.1388888888888889,0.0,0.08196721311475409,0.0,0.0,0.08,0.09302325581395349,0.1282051282051282,0.10204081632653061,0.1111111111111111,0.05434782608695652,0.0,0.0,0.07352941176470588,0.021739130434782608,0.03225806451612903,0.0,0.125,0.11904761904761904,0.0,0.0,0.0,0.10869565217391304,0.06666666666666667,0.07017543859649122,0.0,0.0,0.06557377049180328,0.024390243902439025,0.14285714285714285,0.1282051282051282,0.16666666666666666,0.16,0.13793103448275862,0.04819277108433735,0.1111111111111111,0.0,0.047619047619047616,0.05128205128205128,0.0,0.16,0.02702702702702703,0.1111111111111111,0.0,0.0,0.056179775280898875,0.0,0.0,0.08888888888888889
L4,0.1,0.0625,0.0,0.06666666666666667,0.0,1.0,0.0,0.0,0.0,0.0,0.02564102564102564,0.02631578947368421,0.4,0.0,0.034482758620689655,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.037037037037037035,0.0,0.0,0.07142857142857142,0.0,0.0,0.0,0.0,0.0,0.043478260869565216,0.0,0.07692307692307693,0.07692307692307693,0.07142857142857142,0.018867924528301886,0.037037037037037035,0.0,0.03333333333333333,0.0,0.037037037037037035,0.09090909090909091,0.015873015873015872,0.0,0.0,0.02040816326530612,0.0072992700729927005,0.0,0.0,0.0,0.0,0.06666666666666667,0.0,0.0,0.05555555555555555,0.14285714285714285,0.125,0.0,0.027777777777777776,0.25,0.0,0.0,0.010101010101010102,0.0,0.0,0.023255813953488372,0.0,0.0,0.02857142857142857,0.030303030303030304,0.01818181818181818,0.0,0.0,0.04,0.05555555555555555,0.023809523809523808,0.045454545454545456,0.017543859649122806,0.05555555555555555,0.023809523809523808,0.02702702702702703,0.03333333333333333,0.0,0.04,0.037037037037037035,0.0,0.0,0.041666666666666664,0.0,0.02040816326530612,0.0,0.05555555555555555,0.02702702702702703,0.03333333333333333,0.037037037037037035,0.02702702702702703,0.043478260869565216,0.0125,0.0,0.03333333333333333,0.017857142857142856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022727272727272728,0.0,0.125,0.020833333333333332,0.04,0.043478260869565216,0.0,0.0,0.08333333333333333,0.0625,0.014285714285714285,0.043478260869565216,0.0,0.014084507042253521,0.041666666666666664,0.0,0.0,0.0,0.043478260869565216,0.0,0.0,0.0,0.0,0.05555555555555555,0.0
L7,0.2857142857142857,0.2,0.3076923076923077,0.21052631578947367,0.14814814814814814,0.0,1.0,0.09090909090909091,0.06666666666666667,0.5454545454545454,0.09302325581395349,0.09523809523809523,0.0,0.13333333333333333,0.12121212121212122,0.17391304347826086,0.0,0.0,0.0,0.0,0.0,0.0,0.09090909090909091,0.13333333333333333,0.05263157894736842,0.03225806451612903,0.03125,0.12903225806451613,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.14814814814814814,0.09090909090909091,0.23529411764705882,0.0,0.0,0.07017543859649122,0.029411764705882353,0.2,0.02702702702702703,0.0,0.029411764705882353,0.0,0.04411764705882353,0.0,0.047619047619047616,0.07547169811320754,0.028368794326241134,0.05555555555555555,0.0196078431372549,0.08163265306122448,0.02631578947368421,0.21052631578947367,0.0,0.15384615384615385,0.0,0.0,0.0,0.2,0.1,0.0,0.01282051282051282,0.03225806451612903,0.038834951456310676,0.0,0.0,0.0851063829787234,0.09090909090909091,0.020833333333333332,0.075,0.025,0.016129032258064516,0.0,0.16,0.0,0.0,0.02040816326530612,0.034482758620689655,0.031746031746031744,0.18181818181818182,0.02040816326530612,0.0,0.0,0.05263157894736842,0.03125,0.12903225806451613,0.10526315789473684,0.1,0.14285714285714285,0.0,0.07547169811320754,0.0,0.0,0.0975609756097561,0.11764705882352941,0.12903225806451613,0.0975609756097561,0.14814814814814814,0.047619047619047616,0.0,0.0,0.06666666666666667,0.02702702702702703,0.045454545454545456,0.0,0.17391304347826086,0.11764705882352941,0.0,0.0,0.0,0.10526315789473684,0.08333333333333333,0.08333333333333333,0.0,0.0,0.07692307692307693,0.03125,0.14814814814814814,0.12903225806451613,0.26666666666666666,0.25,0.2,0.05405405405405406,0.14814814814814814,0.0,0.05333333333333334,0.06666666666666667,0.0,0.25,0.03571428571428571,0.14814814814814814,0.0,0.0,0.036585365853658534,0.0,0.0,0.1111111111111111
L10,0.0,0.0,0.0,0.0,0.0,0.0,0.09090909090909091,1.0,0.2,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L11,0.0,0.0,0.0,0.0,0.0,0.0,0.06666666666666667,0.2,1.0,0.1,0.025,0.0,0.0,0.037037037037037035,0.0,0.05,0.0625,0.0,0.0625,0.0,0.0,0.0,0.2,0.2222222222222222,0.07692307692307693,0.04,0.038461538461538464,0.0,0.0,0.0,0.06666666666666667,0.06666666666666667,0.047619047619047616,0.037037037037037035,0.058823529411764705,0.05555555555555555,0.041666666666666664,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017857142857142856,0.0,0.0,0.0,0.0,0.0,0.0,0.017241379310344827,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02857142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03125,0.022222222222222223,0.0,0.0,0.02040816326530612,0.0,0.0,0.0,0.0,0.0,0.0,0.02857142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.041666666666666664,0.0,0.0,0.0,0.0,0.0,0.0
L13,0.4444444444444444,0.26666666666666666,0.5,0.2857142857142857,0.18181818181818182,0.0,0.5454545454545454,0.16666666666666666,0.1,1.0,0.10526315789473684,0.10810810810810811,0.0,0.16,0.14285714285714285,0.2222222222222222,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.2,0.07142857142857142,0.038461538461538464,0.037037037037037035,0.15384615384615385,0.0,0.0,0.0,0.0,0.21052631578947367,0.0,0.0,0.0,0.18181818181818182,0.16666666666666666,0.3333333333333333,0.0,0.0,0.07692307692307693,0.034482758620689655,0.26666666666666666,0.03125,0.0,0.034482758620689655,0.0,0.047619047619047616,0.0,0.0625,0.08333333333333333,0.029411764705882353,0.07692307692307693,0.021739130434782608,0.09090909090909091,0.030303030303030304,0.2857142857142857,0.0,0.19047619047619047,0.0,0.0,0.0,0.26666666666666666,0.11428571428571428,0.0,0.0136986301369863,0.038461538461538464,0.04081632653061224,0.0,0.0,0.09523809523809523,0.10256410256410256,0.023255813953488372,0.08571428571428572,0.02857142857142857,0.017543859649122806,0.0,0.2,0.0,0.0,0.022727272727272728,0.041666666666666664,0.034482758620689655,0.23529411764705882,0.022727272727272728,0.0,0.0,0.07142857142857142,0.037037037037037035,0.15384615384615385,0.12121212121212122,0.11428571428571428,0.17391304347826086,0.0,0.08333333333333333,0.0,0.0,0.1111111111111111,0.13793103448275862,0.15384615384615385,0.1111111111111111,0.18181818181818182,0.05063291139240506,0.0,0.0,0.07272727272727272,0.03125,0.058823529411764705,0.0,0.2222222222222222,0.13793103448275862,0.0,0.0,0.0,0.12121212121212122,0.0967741935483871,0.09302325581395349,0.0,0.0,0.0851063829787234,0.037037037037037035,0.18181818181818182,0.15384615384615385,0.4,0.36363636363636365,0.26666666666666666,0.057971014492753624,0.18181818181818182,0.0,0.05714285714285714,0.08,0.0,0.36363636363636365,0.043478260869565216,0.18181818181818182,0.0,0.0,0.03896103896103896,0.0,0.0,0.12903225806451613
