0,A1,H1,F3,J7,L1,L4,L7,L10,L11,L13,N3,R1,Y12,Y33,Y35,Z6,Z8,Z9,Z14,Z19,Z20,Z21,Z22,Z25,Z27,Z29,Z30,Z32,Z35,Z36,Z37,Z38,Z40,Z41,Z42,Z43,Z45,Z47,B2,B6,C2,D2,Q2,S6,Y34,Z1,Z31,A5,D3,D5,E1,F1,F6,F7,J4,J8,K1,L12,L18,L21,L23,L24,M2,Q3,Q4,Y2,Y8,Y9,Y14,Y15,Y16,Y20,Y31,Z3,Z11,Z12,Z13,Z49,F4,J1,L3,L8,M3,S4,Y6,Y17,Y18,Y22,Y23,D1,J9,K3,L2,N2,Q8,Y3,Y4,Y10,Y11,Y13,Y19,Y21,Y24,Y25,Y26,Y28,Y29,Y32,Y39,Z2,Z10,Z28,A6,A7,G2,S5,B7,F2,G1,C3,X1,Z4,A2,F5,K2,S1,Z16,Z18,Z23,Z34,Z48,Z50,D4,J6,L6,B5,L22,P1,S2,T1,W2,Y5,A1,H1,F3,J7,L1,L4,L7,L10,L11,L13,N3,R1,Y12,Y33,Y35,Z6,Z8,Z9,Z14,Z19,Z20,Z21,Z22,Z25,Z27,Z29,Z30,Z32,Z35,Z36,Z37,Z38,Z40,Z41,Z42,Z43,Z45,Z47,B2,B6,C2,D2,Q2,S6,Y34,Z1,Z31,A5,D3,D5,E1,F1,F6,F7,J4,J8,K1,L12,L18,L21,L23,L24,M2,Q3,Q4,Y2,Y8,Y9,Y14,Y15,Y16,Y20,Y31,Z3,Z11,Z12,Z13,Z49,F4,J1,L3,L8,M3,S4,Y6,Y17,Y18,Y22,Y23,D1,J9,K3,L2,N2,Q8,Y3,Y4,Y10,Y11,Y13,Y19,Y21,Y24,Y25,Y26,Y28,Y29,Y32,Y39,Z2,Z10,Z28,A6,A7,G2,S5,B7,F2,G1,C3,X1,Z4,A2,F5,K2,S1,Z16,Z18,Z23,Z34,Z48,Z50,D4,J6,L6,B5,L22,P1,S2,T1,W2,Y5
S6,0.25,0.181818182,0.266666667,0.19047619,0.137931034,0,0.2,0,0,0.266666667,0.088888889,0.090909091,0,0.125,0.114285714,0.16,0,0,0,0,0,0,0,0.055555556,0.047619048,0.03030303,0.029411765,0.121212121,0,0,0,0,0.153846154,0,0,0,0.137931034,0,0.210526316,0,0,0.06779661,0.027777778,1,0.025641026,0,0.027777778,0,0.042857143,0,0.043478261,0.072727273,0.027972028,0.05,0.018867925,0.078431373,0.025,0.19047619,0,0.142857143,0,0,0,0.181818182,0.12195122,0,0.0125,0.03030303,0.038095238,0,0,0.081632653,0.086956522,0.02,0.071428571,0.023809524,0.015625,0,0.148148148,0,0,0.019607843,0.032258065,0.030769231,0.166666667,0.019607843,0,0,0.047619048,0.029411765,0.121212121,0.1,0.095238095,0.133333333,0,0.072727273,0,0,0.093023256,0.111111111,0.121212121,0.093023256,0.137931034,0.058823529,0,0,0.064516129,0.025641026,0.041666667,0,0.16,0.111111111,0,0,0,0.1,0.078947368,0.08,0,0,0.074074074,0.029411765,0.137931034,0.121212121,0.235294118,0.222222222,0.181818182,0.052631579,0.137931034,0,0.051948052,0.0625,0,0.222222222,0.033333333,0.137931034,0,0,0.035714286,0,0,0.105263158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.222222222,0,0.222222222,0.222222222,0.222222222,1,0,0,0.222222222,0.3,0.08,0.2,0.142857143,0.181818182,0.173913043,0.173913043,0.210526316,0.166666667,0.2,0.3,0.222222222,0.210526316,0.090909091,0.090909091,0.210526316,0.206896552,0,0,0.24,0.24,0.173913043,0.222222222,0.222222222,0.142857143,0.266666667,0.222222222,0.086956522,0,0.076923077,0,0.095238095,0.142857143,0.142857143,0.142857143,0.090909091,0,0,0.142857143,0.105263158,0.133333333,0,0.046511628,0.222222222,0,0,0.076923077,0.046511628,0.3,0.4,0.181818182,0,0.139534884,0,0.076923077,0,0.2,0.210526316,0.315789474,0.075,0.222222222,0.315789474,0.222222222,0.071428571,0,0.142857143,0.142857143,0,0.142857143,0,0,0,0.333333333,0.307692308,0,0,0,0,0,0,0,0,0,0,0,0,0,0.206896552,0,0,0,0.230769231,0,0,0.307692308
Y34,0.096774194,0.212121212,0.03125,0.114285714,0.02173913,0.033333333,0.027027027,0,0,0.03125,0.05,0.050847458,0,0.020408163,0.104166667,0.023809524,0,0.023255814,0,0,0.037037037,0,0,0.03125,0.028571429,0.066666667,0.065217391,0.085106383,0,0,0.027027027,0,0.073170732,0,0,0,0.02173913,0,0.121212121,0.193548387,0.055555556,0.184615385,0.159090909,0.025641026,1,0,0.159090909,0.060606061,0.074074074,0.028571429,0.027027027,0.073529412,0.032051282,0.029411765,0.03030303,0.029850746,0.018518519,0.054054054,0,0.022222222,0.076923077,0.033333333,0.066666667,0.052631579,0.034482759,0.037037037,0.021505376,0.11627907,0.060344828,0,0,0.080645161,0.049180328,0.015625,0.134615385,0.096153846,0.067567568,0,0.022727273,0.065217391,0.024390244,0.064516129,0.069767442,0.14084507,0.05,0.064516129,0.089285714,0.018867925,0.028571429,0.088888889,0.085106383,0.035714286,0.090909091,0.066666667,0,0.073529412,0,0.05,0.089285714,0.08,0.0625,0.12962963,0.093023256,0.050505051,0,0.058823529,0.095890411,0.018867925,0.026315789,0,0.023809524,0.018867925,0.032258065,0,0,0.074074074,0.057692308,0.046153846,0.033333333,0.032258065,0.107692308,0.113636364,0.044444444,0.085106383,0.029411765,0.058823529,0.142857143,0.068181818,0.093023256,0,0.06741573,0.090909091,0,0.028571429,0.022727273,0.119047619,0,0,0.02020202,0.051282051,0.05,0.037037037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.054054054,0,0.058823529,0,0,0,0,0,0,0,0.047619048,0,0.060606061,0,0.074074074,0,0,0,0,0,0,0,0.074074074,0.074074074,0.074074074,0,0,0,0.074074074,0.0625,0.071428571,0,0.074074074,0.045454545,0,0,0.043010753,0.074074074,0,0,0,0,0,0,0.043010753,0,0.042553191,0,0,0.042105263,0.045454545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.148148148,0
Z1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.06557377,0,0.056338028,0.074074074,0.031746032,0.03125,0.064516129,0.068965517,0.030769231,0.056338028,0.06557377,0,0.033333333,0,0,0.068965517,0.057142857,0,0,0.029411765,0.060606061,0,0.033898305,0.070175439,0,0,0.070175439,0,0,0,0,0,0,0,0,0,0.035714286,0,0,0,0,0,0.05,0.058823529,0.034482759,0,0.078947368,0.05,0.031746032,0,0.04,0,0.073170732,0,0.078947368,0,0.056338028,0.068965517,0.066666667,0.077586207,0.058823529,0.066666667,0.070175439,0.095238095,0,0,0,0,0.037735849,0,0,0,0,0,0,0,0,0,0,0,0,0.029850746,0,0,0,0,0,0.057142857,0.035714286,0,0,0.092307692,0,0,0
Z31,0.107142857,0.088235294,0.034482759,0.090909091,0.023255814,0.037037037,0.029411765,0,0,0.034482759,0.090909091,0.092592593,0,0.02173913,0.063829787,0.052631579,0.028571429,0,0.028571429,0,0.041666667,0,0,0.034482759,0.064516129,0.046511628,0.045454545,0.230769231,0,0,0.029411765,0.029411765,0.051282051,0.02173913,0.027777778,0,0.047619048,0,0.133333333,0.133333333,0.129032258,0.254237288,1,0.027777778,0.159090909,0,1,0.032258065,0.076923077,0.03125,0.029411765,0.060606061,0.046357616,0.032258065,0.015625,0.047619048,0.019607843,0.058823529,0,0.023809524,0.026315789,0.037037037,0.16,0.057142857,0.036363636,0.041666667,0.010989011,0.022727273,0.034482759,0,0,0.103448276,0.033898305,0.016393443,0.12,0.125,0.070422535,0,0.024390244,0.095238095,0.026315789,0.105263158,0.162162162,0.083333333,0.054054054,0.105263158,0.094339623,0.02,0.03125,0.15,0.090909091,0.037735849,0.117647059,0.125,0,0.129032258,0,0.083333333,0.115384615,0.0625,0.066666667,0.115384615,0.128205128,0.074468085,0,0.02,0.149253731,0.02,0.028571429,0,0.025641026,0.02,0,0,0,0.037735849,0.06122449,0.048387097,0.037037037,0.035714286,0.189655172,0.095238095,0.047619048,0.066666667,0.032258065,0.064516129,0.121212121,0.070588235,0.1,0,0.045454545,0.125,0,0.03125,0.024390244,0.128205128,0,0,0.020833333,0,0.083333333,0.039215686,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0.222222222,0,0,1,0.105263158,0.1,0.068965517,0.048780488,0.105263158,0.1,0.1,0.125,0.095238095,0.068965517,0.105263158,0.5,0.125,0.117647059,0.117647059,0.125,0.071428571,0,0,0.083333333,0.083333333,0.1,0.133333333,0.133333333,0.222222222,0.166666667,0.133333333,0.111111111,0,0,0,0.125,0.222222222,0.222222222,0.222222222,0.117647059,0,0,0.222222222,0.142857143,0.2,0,0,0.076923077,0,0,0,0,0.105263158,0.285714286,0.333333333,0,0.047619048,0,0,0,0.068965517,0.125,0.111111111,0,0.076923077,0.111111111,0.133333333,0,0,0.222222222,0.222222222,0,0,0,0,0,0.222222222,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.071428571,0,0,0,0.08,0,0,0.2
A5,0.071428571,0.105263158,0,0.052631579,0.037037037,0.090909091,0,0,0,0,0.073170732,0.048780488,0,0.033333333,0.133333333,0.043478261,0,0,0,0,0.125,0,0,0,0,0,0,0.032258065,0,0,0.055555556,0,0,0,0,0,0,0,0.058823529,0.058823529,0.117647059,0.054545455,0.032258065,0,0.060606061,0,0.032258065,1,0.0625,0,0.055555556,0.058823529,0.021582734,0,0,0,0,0.052631579,0,0,0.095238095,0.090909091,0.083333333,0,0.025,0.125,0.013333333,0,0.04,0,0,0.066666667,0,0,0.111111111,0.055555556,0.071428571,0,0,0.034482759,0.045454545,0.02173913,0.038461538,0.068965517,0.095238095,0.02173913,0.076923077,0.09375,0,0.034482759,0.066666667,0,0,0.074074074,0,0.058823529,0,0.095238095,0.05,0.029411765,0.103448276,0.076923077,0.076923077,0.049382716,0.055555556,0.029411765,0.051724138,0,0.052631579,0,0.043478261,0,0,0,0,0.026315789,0,0,0,0.083333333,0.081632653,0.111111111,0.037037037,0.032258065,0.066666667,0.0625,0.105263158,0.013513514,0.037037037,0,0.013333333,0.035714286,0,0,0,0.037037037,0,0,0,0,0.045454545,0.027777778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.105263158,0,0.105263158,0.105263158,0.105263158,0.3,0,0.06557377,0.105263158,1,0.121212121,0.15,0.380952381,0.125,0.121212121,0.275862069,0.32,0.117647059,0.15,0.5,0.105263158,0.137931034,0.133333333,0.133333333,0.32,0.153846154,0,0,0.242424242,0.413793103,0.121212121,0.142857143,0.333333333,0.181818182,0.16,0.333333333,0.129032258,0,0.055555556,0,0.137931034,0.181818182,0.181818182,0.181818182,0.133333333,0.074074074,0,0.181818182,0.148148148,0.173913043,0,0.078431373,0.387096774,0.068965517,0,0.119047619,0.078431373,0.384615385,0.2,0.210526316,0,0.113207547,0,0.119047619,0,0.352941176,0.32,0.4,0.11627907,0.387096774,0.4,0.333333333,0.333333333,0,0.083333333,0.083333333,0,0.181818182,0,0,0,0.181818182,0.173913043,0,0,0,0,0,0,0,0,0,0,0,0,0,0.153846154,0.074074074,0,0,0.75,0,0,0.173913043
D3,0.080645161,0.106060606,0.047619048,0.107692308,0.052631579,0.015873016,0.044117647,0,0,0.047619048,0.090909091,0.091954023,0.016129032,0.050632911,0.116883117,0.055555556,0,0.013157895,0,0,0.016666667,0,0,0.015384615,0.029850746,0.0125,0.012345679,0.105263158,0,0,0.044117647,0,0.054794521,0.012195122,0.013888889,0,0.052631579,0,0.076923077,0.044776119,0.044117647,0.134020619,0.076923077,0.042857143,0.074074074,0,0.076923077,0.0625,1,0.014705882,0.014285714,0.115789474,0.096045198,0.03030303,0.02020202,0.0625,0.011494253,0.058823529,0,0.039473684,0.209677419,0.049180328,0.031746032,0.057971014,0.068965517,0.016666667,0.032258065,0.0125,0.090909091,0,0,0.098901099,0.08988764,0.010309278,0.179487179,0.125,0.098039216,0,0.2,0.064935065,0.013513514,0.076086957,0.161764706,0.128712871,0.071428571,0.076086957,0.119047619,0.048192771,0.014705882,0.037974684,0.105263158,0.070588235,0.056818182,0.109589041,0,0.115789474,0,0.041666667,0.146341463,0.12987013,0.105263158,0.146341463,0.081081081,0.12295082,0,0.023529412,0.141414141,0.011627907,0.028571429,0,0.04109589,0.06097561,0,0,0,0.058139535,0.035294118,0.041237113,0.015873016,0.015625,0.117021277,0.093333333,0.052631579,0.076923077,0.046153846,0.078125,0.158730159,0.049586777,0.066666667,0,0.066666667,0.051948052,0,0.078125,0.012987013,0.111111111,0,0,0.030769231,0,0.041666667,0.085365854,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0.1,0.1,0.1,0.08,0,0,0.1,0.121212121,1,0.093023256,0.113207547,0.057142857,0.055555556,0.055555556,0.0625,0.054054054,0.093023256,0.057142857,0.1,0.133333333,0.842105263,0.842105263,0.0625,0.095238095,0,0,0.105263158,0.05,0.117647059,0.137931034,0.064516129,0.173913043,0.111111111,0.064516129,0.894736842,0.045454545,0.083333333,0,0.789473684,0.173913043,0.173913043,0.173913043,0.842105263,0.071428571,0,0.173913043,0.142857143,0.166666667,0,0,0.047619048,0,0.064516129,0.091954023,0,0.057142857,0.086956522,0.090909091,0,0.071428571,0,0.091954023,0,0.044444444,0.0625,0.058823529,0.08988764,0.047619048,0.058823529,0.064516129,0.051282051,0,0.08,0.08,0,0,0,0,0,0.08,0.076923077,0,0,0,0,0,0,0,0,0,0,0,0,0,0.095238095,0.071428571,0,0,0.102564103,0,0,0.12
D5,0.066666667,0,0,0,0,0,0,0,0,0,0,0.023255814,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03125,0,0,0,0,0,0,0,0,0,0,0.055555556,0.055555556,0,0.017241379,0.03125,0,0.028571429,0,0.03125,0,0.014705882,1,0,0.037735849,0.04379562,0,0,0.02,0.193548387,0,0.307692308,0.037037037,0,0,0.076923077,0.692307692,0.05,0,0,0,0.060606061,0.055555556,0,0.020833333,0.15,0,0.051282051,0.026315789,0,0,0,0.033333333,0,0.021276596,0.037037037,0.016129032,0,0.021276596,0.023809524,0,0,0.033333333,0.03125,0.025641026,0.024390244,0,0,0.018518519,0,0.043478261,0.023809524,0,0,0.162162162,0.035714286,0.048780488,0,0,0.016393443,0,0,0,0,0.028571429,0,0,0,0.025641026,0,0,0.083333333,0,0.018867925,0.033333333,0,0,0,0,0,0.013333333,0.035714286,0,0.013157895,0.034482759,0,0,0.35,0,0,0,0.012195122,0,0,0.151515152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.068965517,0,0.068965517,0.068965517,0.068965517,0.2,0,0.056338028,0.068965517,0.15,0.093023256,1,0.133333333,0.095238095,0.093023256,0.146341463,0.162162162,0.090909091,0.931034483,0.210526316,0.068965517,0.303030303,0.1,0.1,0.162162162,0.964285714,0.096774194,0,0.133333333,0.186046512,0.146341463,0.3125,0.166666667,0.058823529,0.114285714,0.166666667,0.097560976,0,0.043478261,0.05,0.102564103,0.058823529,0.058823529,0.058823529,0.1,0,0,0.058823529,0.051282051,0.057142857,0,0.181818182,0.177777778,0,0,0.155555556,0.181818182,0.15,0.133333333,0.064516129,0,0.169491525,0,0.155555556,0,0.166666667,0.162162162,0.216216216,0.152173913,0.177777778,0.216216216,0.166666667,0.041666667,0,0.058823529,0.058823529,0,0.058823529,0,0,0,0.2,0.233333333,0.085714286,0,0,0,0,0,0,0.086956522,0,0,0,0.066666667,0.1,0.964285714,0,0,0,0.130434783,0.035714286,0,0.121212121
E1,0.058823529,0.043478261,0.0625,0.045454545,0.068965517,0,0.047619048,0,0,0.0625,0.02173913,0.022222222,0,0.03030303,0.027777778,0.038461538,0,0,0,0,0,0,0,0.0625,0.052631579,0.032258065,0.03125,0.029411765,0,0,0,0,0.037037037,0,0,0,0.033333333,0,0.05,0,0,0.016666667,0.029411765,0.043478261,0.027027027,0,0.029411765,0.055555556,0.014285714,0,1,0.017857143,0.013986014,0.055555556,0.019607843,0.019230769,0.026315789,0.045454545,0,0.034482759,0,0,0,0.043478261,0.023255814,0,0.012820513,0.032258065,0.009433962,0,0,0.040816327,0.021276596,0.020833333,0.023809524,0,0.016129032,0,0.035714286,0,0,0.020408163,0.034482759,0.015625,0.04,0.020408163,0,0,0.052631579,0.03125,0.029411765,0.024390244,0.023255814,0.032258065,0,0.017857143,0,0,0.022727273,0.027027027,0.029411765,0.022727273,0.033333333,0.023255814,0,0,0.015873016,0.027027027,0.045454545,0,0.08,0.027027027,0,0,0,0.105263158,0.026315789,0.019607843,0,0,0.018181818,0,0.033333333,0.029411765,0.055555556,0.052631579,0.043478261,0.012987013,0.033333333,0,0.012820513,0.032258065,0,0.052631579,0.035714286,0.033333333,0,0,0.011904762,0,0,0.025641026,0,0.023255814,0.022727273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.023809524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.048780488,0,0.048780488,0.048780488,0.048780488,0.142857143,0,0.074074074,0.048780488,0.380952381,0.113207547,0.133333333,1,0.074074074,0.072727273,0.156862745,0.170212766,0.071428571,0.133333333,0.260869565,0.048780488,0.078431373,0.12,0.12,0.170212766,0.13559322,0,0,0.145454545,0.235294118,0.072727273,0.08,0.173913043,0.090909091,0.085106383,0.173913043,0.117647059,0,0.071428571,0,0.12244898,0.090909091,0.090909091,0.090909091,0.12,0.085106383,0,0.090909091,0.081632653,0.088888889,0,0.084507042,0.226415094,0.039215686,0,0.183673469,0.084507042,0.208333333,0.095238095,0.097560976,0,0.08,0,0.183673469,0,0.214285714,0.170212766,0.212765957,0.18,0.226415094,0.212765957,0.173913043,0.55,0,0.043478261,0.043478261,0,0.2,0,0,0,0.090909091,0.088888889,0.041666667,0,0.041666667,0,0,0,0.038461538,0,0,0,0,0,0,0.13559322,0.085106383,0,0.041666667,0.333333333,0,0.041666667,0.088888889
F1,0.104166667,0.134615385,0.083333333,0.137254902,0.064516129,0.020408163,0.075471698,0,0,0.083333333,0.138888889,0.08,0,0.078125,0.161290323,0.107142857,0,0,0,0,0.02173913,0,0,0.019607843,0.018518519,0.015151515,0.014925373,0.09375,0,0,0.017857143,0,0.06779661,0,0,0,0.064516129,0,0.098039216,0.018181818,0.096153846,0.11627907,0.060606061,0.072727273,0.073529412,0,0.060606061,0.058823529,0.115789474,0.037735849,0.017857143,1,0.232876712,0.058823529,0.191780822,0.205479452,0.042253521,0.094339623,0.038461538,0.06557377,0.016666667,0.020408163,0.040816327,0.113207547,0.082191781,0.02173913,0.14,0.015151515,0.352380952,0.018181818,0.02,0.131578947,0.257575758,0.090909091,0.147058824,0.117647059,0.088888889,0.019607843,0.066666667,0.03030303,0.033898305,0.075949367,0.031746032,0.111111111,0.12962963,0.075949367,0.126760563,0.073529412,0.018518519,0.03030303,0.147540984,0.069444444,0.161764706,0.155172414,0,0.135802469,0.02,0.12962963,0.15942029,0.158730159,0.147540984,0.25,0.157894737,0.308510638,0.055555556,0.106060606,0.164705882,0.089552239,0.074074074,0.02173913,0.087719298,0.106060606,0.02,0,0,0.054794521,0.042253521,0.06097561,0,0.02,0.166666667,0.133333333,0.081967213,0.111111111,0.102040816,0.12244898,0.204081633,0.056074766,0.1,0,0.065420561,0.046875,0,0.078431373,0.049180328,0.137931034,0,0,0.025641026,0,0.089285714,0.19047619,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.105263158,0,0.105263158,0.105263158,0.105263158,0.181818182,0,0.031746032,0.105263158,0.125,0.057142857,0.095238095,0.074074074,1,0.85,0.15625,0.064516129,0.80952381,0.095238095,0.125,0.105263158,0.064516129,0.0625,0.0625,0.064516129,0.097560976,0,0,0.64,0.171428571,0.275862069,0.066666667,0.066666667,0.083333333,0.16,0.066666667,0.060606061,0.1,0,0.333333333,0.064516129,0.083333333,0.083333333,0.083333333,0.0625,0,0.105263158,0.083333333,0.148148148,0.125,0.090909091,0.037735849,0.162162162,0,0.333333333,0.044444444,0.037735849,0.125,0.090909091,0.095238095,0.090909091,0.255319149,0.090909091,0.044444444,0.090909091,0.15,0.064516129,0.129032258,0.043478261,0.162162162,0.129032258,0.066666667,0.052631579,0.086956522,0.083333333,0.083333333,0,0.083333333,0,0,0,0.181818182,0.08,0,0,0,0,0,0,0,0.111111111,0,0,0,0,0,0.097560976,0,0,0,0.3125,0,0,0.125
F6,0.044444444,0.05,0.029411765,0.057971014,0.033557047,0.00729927,0.028368794,0,0,0.029411765,0.082802548,0.062893082,0,0.039735099,0.066666667,0.041666667,0.006896552,0,0.013888889,0,0.007462687,0,0,0.007194245,0.014184397,0.006493506,0.006451613,0.067567568,0,0,0.006944444,0,0.027210884,0,0,0,0.026666667,0,0.043478261,0.014084507,0.035714286,0.076023392,0.046357616,0.027972028,0.032051282,0,0.046357616,0.021582734,0.096045198,0.04379562,0.013986014,0.232876712,1,0.059701493,0.182432432,0.205479452,0.072847682,0.042857143,0.021582734,0.033783784,0.027586207,0.00729927,0.022058824,0.072992701,0.037267081,0.007462687,0.21686747,0.033333333,0.385542169,0.014084507,0.022058824,0.12987013,0.179310345,0.116883117,0.092105263,0.078947368,0.04494382,0.029411765,0.04109589,0.083333333,0.041958042,0.101910828,0.040816327,0.068181818,0.071942446,0.101910828,0.112582781,0.095238095,0.014184397,0.019607843,0.112676056,0.037735849,0.113333333,0.076388889,0,0.125,0.007246377,0.071942446,0.098039216,0.080536913,0.097222222,0.142857143,0.1,0.343949045,0.043165468,0.095238095,0.126506024,0.073333333,0.057971014,0.007462687,0.034482759,0.066225166,0,0,0,0.044303797,0.018867925,0.035502959,0.00729927,0.007246377,0.098159509,0.06122449,0.040540541,0.046357616,0.03649635,0.036231884,0.065217391,0.030769231,0.047619048,0,0.041237113,0.040268456,0,0.028776978,0.085714286,0.054794521,0,0,0.024630542,0,0.034722222,0.131944444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0.1,0.1,0.1,0.173913043,0,0.03125,0.1,0.121212121,0.055555556,0.093023256,0.072727273,0.85,1,0.225806452,0.0625,0.857142857,0.093023256,0.121212121,0.1,0.0625,0.060606061,0.060606061,0.0625,0.095238095,0,0,0.68,0.166666667,0.266666667,0.064516129,0.064516129,0.08,0.153846154,0.064516129,0.058823529,0.095238095,0,0.32,0.0625,0.08,0.08,0.08,0.060606061,0,0.1,0.08,0.142857143,0.12,0.086956522,0.037037037,0.157894737,0,0.32,0.043956044,0.037037037,0.121212121,0.086956522,0.090909091,0.086956522,0.25,0.086956522,0.043956044,0.086956522,0.146341463,0.0625,0.125,0.043010753,0.157894737,0.125,0.064516129,0.051282051,0.130434783,0.08,0.08,0,0.08,0,0,0,0.173913043,0.076923077,0,0,0,0,0,0,0,0.108108108,0,0,0,0,0,0.095238095,0,0,0,0.303030303,0,0,0.12
F7,0.071428571,0.05,0.076923077,0.111111111,0.076923077,0,0.055555556,0,0,0.076923077,0.023255814,0.048780488,0,0.068965517,0.03030303,0.043478261,0,0,0,0,0,0,0,0.076923077,0.133333333,0.035714286,0.034482759,0.066666667,0,0,0,0,0.041666667,0,0,0,0.037037037,0,0.058823529,0,0,0.01754386,0.032258065,0.05,0.029411765,0,0.032258065,0,0.03030303,0,0.055555556,0.058823529,0.059701493,1,0.139534884,0.063829787,0.028571429,0.052631579,0,0.038461538,0,0,0.083333333,0.05,0.025,0,0.070422535,0.035714286,0.083333333,0,0.083333333,0.043478261,0.153846154,0.069767442,0.081081081,0.055555556,0.016949153,0,0.04,0.034482759,0.045454545,0.044444444,0.038461538,0.016393443,0.15,0.044444444,0.105263158,0.029411765,0.133333333,0.034482759,0.066666667,0.026315789,0.078947368,0.074074074,0,0.058823529,0,0.045454545,0.076923077,0.060606061,0.142857143,0.076923077,0.076923077,0.08974359,0.055555556,0.060606061,0.089285714,0.09375,0.052631579,0.125,0.043478261,0.09375,0,0,0,0.026315789,0.028571429,0.020833333,0,0,0.019230769,0,0.037037037,0.032258065,0.066666667,0.0625,0.05,0.013513514,0.037037037,0,0.013333333,0.035714286,0,0.0625,0.04,0.037037037,0,0,0.012345679,0,0,0.088235294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0.1,0.1,0.1,0.173913043,0,0.064516129,0.1,0.275862069,0.055555556,0.146341463,0.156862745,0.15625,0.225806452,1,0.7,0.181818182,0.146341463,0.37037037,0.1,0.133333333,0.060606061,0.060606061,0.7,0.15,0,0,0.2,0.3125,0.266666667,0.137931034,0.736842105,0.08,0.25,0.736842105,0.058823529,0.095238095,0.054054054,0.064516129,0.0625,0.08,0.08,0.08,0.060606061,0,0.1,0.08,0.142857143,0.12,0.086956522,0.12,0.294117647,0,0.064516129,0.117647059,0.12,0.37037037,0.19047619,0.2,0.19047619,0.111111111,0.19047619,0.117647059,0.19047619,0.27027027,0.7,0.636363636,0.114942529,0.294117647,0.636363636,0.736842105,0.051282051,0.238095238,0.08,0.08,0,0.08,0,0,0,0.08,0.166666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15,0,0,0,0.228571429,0,0,0.217391304
